iter	Passed	Remaining
0	144	14335
1	145	7132
2	146	4724
3	146	3520
4	147	2798
5	147	2315
6	148	1973
7	149	1717
8	150	1520
9	150	1358
10	152	1231
11	152	1120
12	153	1027
13	154	947
14	154	876
15	155	814
16	156	762
17	156	714
18	157	670
19	158	633
20	159	598
21	159	565
22	160	535
23	160	508
24	161	483
25	161	460
26	162	438
27	162	418
28	163	400
29	164	382
30	164	366
31	165	351
32	165	336
33	166	323
34	167	310
35	167	298
36	168	286
37	168	275
38	169	264
39	170	255
40	171	246
41	171	236
42	172	228
43	172	220
44	173	211
45	173	204
46	174	196
47	175	189
48	175	182
49	176	176
50	177	170
51	178	164
52	179	158
53	179	153
54	180	147
55	180	142
56	181	136
57	182	131
58	182	126
59	183	122
60	184	118
61	185	113
62	186	109
63	187	105
64	188	101
65	188	97
66	189	93
67	189	89
68	190	85
69	190	81
70	191	78
71	192	74
72	192	71
73	193	67
74	193	64
75	194	61
76	195	58
77	195	55
78	196	52
79	196	49
80	197	46
81	197	43
82	198	40
83	198	37
84	199	35
85	200	32
86	201	30
87	201	27
88	202	24
89	202	22
90	203	20
91	204	17
92	205	15
93	205	13
94	205	10
95	206	8
96	207	6
97	207	4
98	208	2
99	208	0
