iter	Passed	Remaining
0	0	976
1	1	873
2	2	888
3	3	887
4	6	1210
5	6	1152
6	7	1103
7	8	1067
8	9	1034
9	10	1001
10	10	980
11	11	955
12	12	918
13	12	896
14	13	888
15	14	867
16	14	839
17	15	819
18	15	811
19	16	798
20	16	785
21	17	776
22	18	772
23	18	761
24	19	752
25	19	744
26	20	737
27	20	727
28	21	720
29	22	712
30	22	708
31	23	703
32	23	700
33	24	695
34	24	688
35	25	688
36	26	685
37	26	683
38	27	680
39	28	676
40	28	672
41	29	667
42	29	663
43	30	661
44	30	657
45	31	654
46	32	653
47	32	649
48	33	646
49	33	643
50	34	640
51	35	638
52	35	638
53	36	635
54	36	635
55	37	635
56	38	632
57	38	630
58	39	626
59	39	623
60	40	620
61	40	616
62	41	612
63	41	609
64	42	608
65	42	606
66	43	603
67	43	601
68	44	598
69	44	596
70	45	593
71	45	590
72	46	588
73	46	585
74	47	583
75	47	581
76	48	579
77	48	576
78	49	573
79	49	571
80	50	569
81	50	567
82	51	563
83	51	561
84	52	560
85	52	558
86	53	556
87	53	554
88	53	552
89	54	551
90	55	551
91	55	550
92	56	549
93	56	548
94	57	548
95	58	546
96	58	544
97	58	542
98	59	541
99	60	540
100	60	539
101	61	537
102	61	536
103	62	535
104	62	534
105	63	532
106	63	531
107	64	529
108	64	528
109	65	527
110	65	526
111	66	525
112	66	524
113	67	524
114	67	523
115	68	522
116	68	520
117	69	519
118	70	518
119	70	517
120	71	516
121	71	514
122	72	513
123	72	512
124	73	511
125	73	511
126	74	510
127	74	510
128	75	509
129	75	508
130	76	507
131	77	506
132	77	506
133	78	504
134	78	504
135	79	503
136	79	502
137	80	501
138	80	500
139	81	499
140	81	498
141	82	496
142	82	496
143	83	495
144	83	495
145	84	494
146	85	493
147	85	492
148	86	491
149	86	490
150	87	489
151	87	489
152	88	488
153	88	488
154	89	487
155	89	485
156	90	484
157	90	483
158	91	482
159	91	482
160	92	480
161	92	479
162	93	478
163	93	477
164	94	477
165	94	475
166	95	478
167	96	479
168	97	480
169	98	482
170	99	483
171	100	485
172	101	486
173	102	487
174	103	488
175	104	489
176	105	490
177	106	490
178	107	491
179	107	491
180	108	491
181	109	491
182	110	492
183	111	492
184	111	492
185	112	492
186	113	491
187	113	491
188	114	491
189	115	491
190	115	491
191	116	491
192	117	490
193	117	489
194	118	489
195	119	489
196	120	489
197	120	489
198	121	488
199	121	487
200	122	487
201	123	486
202	123	485
203	124	484
204	124	484
205	125	483
206	126	482
207	126	482
208	127	481
209	127	480
210	128	480
211	128	479
212	129	478
213	130	478
214	130	477
215	131	476
216	131	475
217	132	474
218	132	473
219	133	472
220	133	472
221	134	471
222	134	470
223	135	468
224	135	467
225	136	466
226	136	466
227	137	465
228	138	464
229	138	463
230	139	462
231	139	462
232	140	461
233	140	460
234	141	459
235	141	458
236	142	457
237	142	456
238	143	455
239	143	454
240	144	453
241	144	453
242	145	452
243	145	451
244	146	450
245	146	448
246	146	447
247	147	447
248	147	446
249	148	445
250	148	444
251	149	443
252	149	442
253	150	442
254	151	441
255	151	440
256	152	440
257	152	439
258	153	438
259	153	437
260	154	437
261	154	436
262	155	435
263	155	434
264	156	434
265	157	433
266	157	432
267	157	431
268	158	430
269	158	429
270	159	429
271	160	428
272	160	427
273	161	426
274	161	426
275	162	425
276	162	424
277	163	423
278	163	423
279	164	422
280	164	421
281	165	420
282	165	420
283	166	419
284	167	419
285	167	418
286	168	417
287	168	417
288	169	416
289	170	416
290	170	415
291	171	415
292	171	414
293	172	414
294	173	413
295	173	412
296	174	412
297	174	411
298	175	410
299	175	409
300	176	409
301	176	408
302	177	407
303	177	406
304	177	405
305	178	405
306	179	404
307	179	404
308	180	403
309	180	402
310	181	402
311	182	401
312	182	400
313	183	400
314	183	399
315	184	399
316	185	398
317	185	398
318	186	397
319	187	397
320	187	396
321	188	396
322	188	395
323	189	395
324	190	394
325	190	394
326	191	393
327	191	392
328	192	392
329	192	391
330	193	391
331	194	390
332	194	390
333	195	389
334	196	389
335	196	388
336	197	387
337	197	387
338	198	386
339	198	386
340	199	385
341	200	384
342	200	384
343	201	383
344	201	382
345	202	382
346	202	381
347	203	380
348	203	380
349	204	379
350	204	378
351	205	377
352	205	377
353	206	376
354	206	375
355	207	374
356	207	374
357	208	373
358	208	372
